Product_ID,Product_Name,Category,Sub_Category,Brand,Cost,List_Price
PROD-0001,Nova Smartphone Classic,Electronics,Mobiles,Nova,16592.01,26199.0
PROD-0002,Bolt Wireless Earbuds Pro,Electronics,Audio,Bolt,14197.34,19599.0
PROD-0003,SoundWave Bluetooth Speaker Classic,Electronics,Laptops,SoundWave,10325.6,17349.0
PROD-0004,ZenTech Laptop Plus,Electronics,Accessories,ZenTech,27493.34,39599.0
PROD-0005,Nova Power Bank Pro,Electronics,Mobiles,Nova,25878.28,39099.0
PROD-0006,Bolt Smartwatch Classic,Electronics,Audio,Bolt,19192.58,28399.0
PROD-0007,SoundWave USB Hub Pro,Electronics,Laptops,SoundWave,17437.15,28499.0
PROD-0008,ZenTech Mechanical Keyboard Max,Electronics,Accessories,ZenTech,27438.63,37299.0
PROD-0009,Nova Webcam Max,Electronics,Mobiles,Nova,1168.62,1599.0
PROD-0010,Bolt Phone Case Pro,Electronics,Audio,Bolt,17071.3,28699.0
PROD-0011,SoundWave Tablet Classic,Electronics,Laptops,SoundWave,24137.63,40449.0
PROD-0012,ZenTech Noise Cancelling Headphones Plus,Electronics,Accessories,ZenTech,19456.55,27049.0
PROD-0013,Nova Wireless Mouse Classic,Electronics,Mobiles,Nova,14987.64,21149.0
PROD-0014,Bolt Fast Charger Pro,Electronics,Audio,Bolt,11529.74,16899.0
PROD-0015,UrbanFit Cotton Shirt Max,Fashion,Men's Clothing,UrbanFit,1179.02,3299.0
PROD-0016,Saanvi Casual Kurta Plus,Fashion,Women's Clothing,Saanvi,294.53,749.0
PROD-0017,ThreadCraft Denim Jeans Max,Fashion,Footwear,ThreadCraft,160.93,449.0
PROD-0018,Stride Running Shoes Pro,Fashion,Accessories,Stride,914.89,2599.0
PROD-0019,UrbanFit Handbag Plus,Fashion,Men's Clothing,UrbanFit,1315.82,3599.0
PROD-0020,Saanvi Printed Dress Classic,Fashion,Women's Clothing,Saanvi,1431.95,1999.0
